"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Infant Birth Weight 12"	"Infant Birth Weight 12 Code"	Births
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"500 - 999 grams"	"02"	36
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"1000 - 1499 grams"	"03"	55
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"1500 - 1999 grams"	"04"	83
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"2000 - 2499 grams"	"05"	320
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"2500 - 2999 grams"	"06"	1104
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"3000 - 3499 grams"	"07"	1906
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"3500 - 3999 grams"	"08"	1100
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"4000 - 4499 grams"	"09"	271
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"4500 - 4999 grams"	"10"	46
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"499 grams or less"	"01"	10
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"500 - 999 grams"	"02"	20
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"1000 - 1499 grams"	"03"	40
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"1500 - 1999 grams"	"04"	78
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"2000 - 2499 grams"	"05"	265
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"2500 - 2999 grams"	"06"	920
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"3000 - 3499 grams"	"07"	1805
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"3500 - 3999 grams"	"08"	1057
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"4000 - 4499 grams"	"09"	255
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"4500 - 4999 grams"	"10"	43
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"500 - 999 grams"	"02"	39
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"1000 - 1499 grams"	"03"	48
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"1500 - 1999 grams"	"04"	100
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"2000 - 2499 grams"	"05"	290
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"2500 - 2999 grams"	"06"	1014
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"3000 - 3499 grams"	"07"	1855
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"3500 - 3999 grams"	"08"	1136
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"4000 - 4499 grams"	"09"	278
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"4500 - 4999 grams"	"10"	38
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"499 grams or less"	"01"	11
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"500 - 999 grams"	"02"	37
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"1000 - 1499 grams"	"03"	41
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"1500 - 1999 grams"	"04"	82
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"2000 - 2499 grams"	"05"	247
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"2500 - 2999 grams"	"06"	918
