"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Infant Birth Weight 12"	"Infant Birth Weight 12 Code"	Births
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"500 - 999 grams"	"02"	33
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"1000 - 1499 grams"	"03"	72
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"1500 - 1999 grams"	"04"	107
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"2000 - 2499 grams"	"05"	329
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"2500 - 2999 grams"	"06"	1019
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"3000 - 3499 grams"	"07"	1855
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"3500 - 3999 grams"	"08"	1181
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"4000 - 4499 grams"	"09"	261
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"4500 - 4999 grams"	"10"	31
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"499 grams or less"	"01"	13
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"500 - 999 grams"	"02"	27
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"1000 - 1499 grams"	"03"	32
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"1500 - 1999 grams"	"04"	99
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"2000 - 2499 grams"	"05"	288
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"2500 - 2999 grams"	"06"	893
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"3000 - 3499 grams"	"07"	1694
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"3500 - 3999 grams"	"08"	1014
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"4000 - 4499 grams"	"09"	233
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"4500 - 4999 grams"	"10"	43
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"500 - 999 grams"	"02"	29
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"1000 - 1499 grams"	"03"	38
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"1500 - 1999 grams"	"04"	82
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"2000 - 2499 grams"	"05"	304
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"2500 - 2999 grams"	"06"	1029
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"3000 - 3499 grams"	"07"	1863
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"3500 - 3999 grams"	"08"	1140
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"4000 - 4499 grams"	"09"	232
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"4500 - 4999 grams"	"10"	34
